    type_stands,X,Y,Easting,Northing,location_stand,no_stands,physical_condition,occupancy,expanded_capacity,security_safetyrating,lighting,protection_weather,large_development,ease_access,proximity_cyclenetwork,commercial,retail,residential,transportation,education,recreational,entertainment,restaurants,expanded_stands
Sheffield Stand,-6.251549274,53.33571254,316521.965,233117.996,Fitzwilliam square north,7,High,50,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,7
Sheffield Stand,-6.285188198,53.35308412,314234.867,234996.798,Manor street,6,High,20,100,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,6
Sheffield Stand,-6.263397932,53.34801997,315699.416,234468.328,Middle abbey street across the road from the Gin Palace  pub,5,High,70,100,,High,Low,,Good,Unknown,,,,,,,,,5
Sheffield Stand,-6.265190989,53.33592955,315612.72,233119.977,"Camden street, Infront of great deals store.",6,High,0,100,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6
Sheffield Stand,-6.269591153,53.35858467,315258.504,235633.978,Berkeley road outside post office,2,High,25,100,Medium,High,Low,All,Good,Adjacent & Visible,,,,,,,,,2
Sheffield Stand,-6.264034957,53.34852353,315655.634,234523.334,Liffey street outside entrance to Arnotts.,8,High,90,100,High,High,Low,All,Good,Unknown,,,,,,,,,8
Sheffield Stand,-6.244546026,53.33702184,316984.858,233275.145,Mount street uppwr,7,High,25,100,,High,Low,All,Good,Unknown,,,,,,,,,7
Sheffield Stand,-6.258653104,53.33091783,316061.804,232572.865,Charlemont place beside luas station ,9,High,80,100,Medium,High,Low,All,Good,Adjacent & Visible,,,,Yes,,,,,9
Stainless Steel Curved,-6.238808781,53.34258852,317351.711,233904.027,Grand canal docks,5,High,90,100,Medium,High,Low,All,Good,Visible,,,,,,,,,5
Stainless Steel Curved,-6.239453852,53.34532995,317301.225,234208.039,Admiral brown street,6,High,90,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,6
Stainless Steel Curved,-6.238279045,53.34498248,317380.414,234171.302,All along Forbes street,12,High,15,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,12
Stainless Steel Curved,-6.235983074,53.3450089,317533.24,234178.018,Blood stone /road horse fair intersection,12,High,15,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,12
Stainless Steel Curved,-6.235950887,53.34507375,317535.205,234185.288,A'll along bood stone road,12,High,35,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,12
Stainless Steel Curved,-6.238179803,53.34482395,317387.459,234153.824,All along Forbes street,12,High,25,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,12
Stainless Steel Curved,-6.264417171,53.34207047,315647.646,233804.604,"Fade street, outside hogans bar",3,High,100,100,Medium,Medium,Low,All,Good,Visible,,,,,,,,,3
Stainless Steel Curved,-6.233445704,53.34433076,317704.081,234106.733,Benson street,8,High,50,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,8
Stainless Steel Curved,-6.236972809,53.34497847,317467.413,234173.004,Horse fair,8,High,75,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,8
Sheffield Stand,-6.287840903,53.35609622,314050.203,235327.753,Prussia street,4,High,0,75,High,High,Low,All,Good,Visible,,,,,,,,,3
Sheffield Stand,-6.262051463,53.3428119,315803.19,233890.945,"Start of South William street, outside jewl in the crown",7,High,75,75,High,High,Low,All,Good,Unknown,,,,,,,,,5
Sheffield Stand,-6.26450032,53.35301127,315612.501,235021.986, Parnell square west outside the rotunda hospital ,8,High,0,75,High,High,Low,All,Good,Unknown,,,,,,,,,6
Sheffield Stand,-6.290662587,53.34183507,313900.354,233736.23,,4,High,0,75,,High,Low,,Good,,,,Yes,,,,,,3
Sheffield Stand,-6.279795617,53.34779341,314608.107,234416.675,"Queen street, probation service ",10,Medium,15,75,Medium,High,Low,All,Good,Unknown,,,,,,,,,7
Sheffield Stand,-6.270240247,53.34315219,315256.918,233915.567,"Christ church place, outside sunny's newsagent",6,High,50,70,High,High,Low,All,Good,Adjacent & Visible,Yes,,,,,,,,4
